Date,Time,Datetime,ThermocoupleTemp
2019-09-03,1425,2019-09-03 14:25,26.4
2019-09-03,1431,2019-09-03 14:31,33.1
2019-09-03,1436,2019-09-03 14:36,38
2019-09-03,1440,2019-09-03 14:40,41.9
2019-09-03,1445,2019-09-03 14:45,46.7
2019-09-03,1450,2019-09-03 14:50,46.4
2019-09-03,1455,2019-09-03 14:55,45.5
